,CountryParity
Niger,178
Turkey,150
Uruguay,146
Germany,134
Hungary,124
Paraguay,124
Italy,100
Netherlands,94
Sierra Leone,84
Israel,80
Antigua and Barbuda,78
Armenia,74
Nepal,72
Madagascar,66
El Salvador,64
Vatican City,64
Belarus,60
Ecuador,60
Luxembourg,58
Mauritius,56
Myanmar,56
Algeria,56
Oman,54
Central African Republic,54
Qatar,54
Albania,50
Afghanistan,50
United States,50
Philippines,50
Fiji,50
Montenegro,48
Denmark,44
Australia,42
Haiti,42
Honduras,42
Gambia,40
United Arab Emirates,40
United Kingdom,38
Azerbaijan,38
Andorra,38
Angola,38
Latvia,38
Saint Kitts and Nevis,36
Iceland,36
Tuvalu,36
Argentina,36
Djibouti,36
Bahamas,34
Vietnam,34
South Sudan,32
Dominican Republic,32
Benin,30
Cyprus,30
Brazil,28
Suriname,28
Chad,26
Austria,26
Seychelles,24
Chile,24
São Tomé and Príncipe,24
India,20
Belgium,18
Republic of the Congo,18
Nicaragua,16
Finland,14
San Marino,12
Poland,12
Kuwait,12
Mali,10
Senegal,8
Cape Verde,8
Brunei,8
Comoros,8
Sudan,6
Kiribati,6
Czech Republic,4
Barbados,4
France,4
Zimbabwe,4
Mozambique,4
Portugal,2
Jordan,2
Maldives,0
Laos,0
Mexico,0
Ivory Coast,-2
Uzbekistan,-2
Nigeria,-4
Nauru,-4
Saint Vincent and the Grenadines,-4
Switzerland,-6
Turkmenistan,-6
Thailand,-8
Solomon Islands,-10
Ukraine,-10
Belize,-10
Trinidad and Tobago,-12
Japan,-12
Ireland,-12
Peru,-14
North Macedonia,-14
Malawi,-14
Palau,-16
Pakistan,-16
Canada,-16
Egypt,-16
Timor-Leste,-16
Burkina Faso,-16
Marshall Islands,-18
Iran,-18
Norway,-18
Spain,-20
Greece,-22
Namibia,-24
Guyana,-24
Papua New Guinea,-24
Kazakhstan,-26
Burundi,-28
Bangladesh,-28
Colombia,-28
Guinea-Bissau,-28
Morocco,-28
Liechtenstein,-30
North Korea,-30
Kyrgyzstan,-30
Liberia,-30
Lesotho,-30
Cambodia,-32
Ghana,-32
Tonga,-36
Bhutan,-36
Mongolia,-38
Vanuatu,-38
Malta,-40
Palestine,-44
Somalia,-44
Ethiopia,-46
South Korea,-48
Togo,-48
Sweden,-48
Moldova,-48
Lebanon,-50
Gabon,-50
Iraq,-50
Venezuela,-52
Micronesia,-52
New Zealand,-52
Tunisia,-52
Zambia,-54
Democratic Republic of the Congo,-56
Guinea,-56
South Africa,-58
Libya,-58
Tajikistan,-58
Croatia,-60
Costa Rica,-60
Singapore,-60
Jamaica,-60
Russia,-62
Lithuania,-62
Mauritania,-64
Sri Lanka,-64
Equatorial Guinea,-64
Tanzania,-66
Eswatini,-68
Botswana,-68
Guatemala,-68
Saudi Arabia,-70
Slovakia,-70
Grenada,-70
China,-70
Dominica,-70
Indonesia,-76
Malaysia,-76
Georgia,-78
Saint Lucia,-78
Cameroon,-80
Bosnia and Herzegovina,-82
Rwanda,-82
Romania,-84
Serbia,-84
Monaco,-92
Bulgaria,-94
Yemen,-96
Kenya,-96
Samoa,-98
Panama,-102
Slovenia,-104
Bahrain,-108
Syria,-116
Cuba,-118
Uganda,-120
Bolivia,-124
Estonia,-128
Eritrea,-132
